model,scenario,variable,unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bodirsky2015,SSP4,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.2852,,
Bodirsky2015,SSP4_boundary,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1669.1576,,,,,1684.228,,
Bodirsky2015,SSP5,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1683.8856,,,,,1712.863,,
Bodirsky2015,SSP5_boundary,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1606.8599,,,,,1631.2281,,,,,1662.3743,,,,,1661.3909,,,,,1683.8856,,,,,1712.3451,,
Bodirsky2015,a1,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1608.1609,,,,,1632.2105,,,,,1647.6671,,,,,1662.6543,,,,,1687.2171,,,,,1724.0325,,
Bodirsky2015,a2,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1608.1609,,,,,1629.2329,,,,,1640.3069,,,,,1643.4275,,,,,1657.6454,,,,,1682.3556,,
Bodirsky2015,b1,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1608.1609,,,,,1633.4487,,,,,1648.8617,,,,,1653.8321,,,,,1669.0583,,,,,1691.5137,,
Bodirsky2015,b2,Nutrition|Calorie Supply|+|Crops,kcal/capita/day,,,,,,1521.9655,,,,,1552.9961,,,,,1539.1547,,,,,1550.4049,,,,,1601.7571,,,,,1608.1609,,,,,1633.7086,,,,,1647.2549,,,,,1646.8139,,,,,1653.5528,,,,,1668.9672,,
FAO,historical,Nutrition|Calorie Supply|+|Crops,,,1497.2918,1527.4332,1527.7262,1551.5046,1560.1109,1568.6842,1564.5947,1556.9214,1560.5437,1595.5637,1566.3251,1552.6697,1588.039,1568.8242,1589.6787,1562.9,1583.0662,1624.1878,1611.4448,1611.1841,1623.8296,1646.1964,1685.2042,1678.4927,1668.3346,1669.0108,1678.5843,1685.0713,1690.6404,1670.0818,1661.7496,1675.4439,1685.6614,1693.8957,1701.668,1712.6667,1713.3031,1726.1598,1738.025,1739.6011,1733.9332,1727.217,1724.1899,1730.8974,1734.839,1735.7906,1747.8236,1761.482,1757.4116,1779.662,1788.6273,,,,,,
FAOmassbalance,historical,Nutrition|Calorie Supply|+|Crops,,,,,,,1543.5901,,,,,1575.5779,,,,,1562.1185,,,,,1574.6909,,,,,1628.0953,,,,,1634.5159,,,,,1661.2451,,,,,1693.758,,,,,1693.6811,,,,,1739.0663,,,,,,,
Bodirsky2015,SSP1,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.9321,,
Bodirsky2015,SSP1_boundary,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.8522,,
Bodirsky2015,SSP2,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.8594,,
Bodirsky2015,SSP2_boundary,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.7777,,,,,36.8404,,
Bodirsky2015,SSP3,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.2311,,,,,35.9114,,
Bodirsky2015,SSP3_boundary,Nutrition|Calorie Supply|+|Fish,kcal/capita/day,,,,,,19.6348,,,,,21.396,,,,,22.5513,,,,,23.5288,,,,,25.7019,,,,,26.6186,,,,,27.0643,,,,,28.7923,,,,,30.0892,,,,,33.2311,,,,,35.9467,,
